lat,lon,flood_heig,elevation,precipitat,distance_to_river_deg,distance_to_river_m
14.70572983,121.0210783,0,31.7705879211,11.0,0.0038985827785075647,432.7426884143397
14.6163296,121.1113251,0,11.9897632599,13.0,0.008245059418829272,915.2015954900493
14.73141728,121.0524426,0,65.0312652588,14.0,0.03143696475031358,3489.5030872848074
14.64305157,120.9894321,0,21.0935211182,8.0,0.0030370531192145745,337.1128962328178
14.55829912,121.0450916,0,24.0706062317,8.0,0.0027639806193957635,306.80184875292974
14.6870982,121.0479928,0,56.1043243408,11.0,0.003729672335468706,413.99362923702637
14.66243469,121.0164964,0,21.9129600525,9.0,0.001316377613792751,146.11791513099536
14.61665559,121.1092245,0,12.3427562714,13.0,0.006504701033718971,722.0218147428058
14.66099328,121.0665295,0,69.8663635254,11.0,0.002725650946184355,302.5472550264634
14.65897965,121.0695229,0,72.5123748779,11.0,0.0034781702218990088,386.07689463079
14.68091584,121.0887489,0,76.3566970825,14.0,0.004459637545092538,495.0197675052717
14.50541168,121.0278842,0,16.2054538727,7.0,0.00021862750259274657,24.26765278779487
14.57645147,121.0273545,0,6.76014614105,8.0,0.002461520777066195,273.2288062543476
14.36687033,121.0387096,0,30.0082817078,11.0,0.03410437231240277,3785.5853266767076
14.63670485,121.0520746,0,50.626499176,9.0,0.006282230320712977,697.3275655991404
14.6536767,121.0213324,0,27.5276565552,9.0,0.0007183137186884935,79.73282277442279
14.58058062,121.0320441,0,9.76521873474,8.0,0.0034284764159001066,380.56088216491185
14.59012093,121.0918818,0,10.6233959198,12.0,0.0008116934975333468,90.09797822620149
14.66700502,121.0736255,0,71.04712677,12.0,0.0024375600014952484,270.56916016597256
14.67367919,120.9817158,0,14.0696563721,9.0,0.0002329313634978483,25.85538134826116
14.64971225,121.1164345,0,27.6412982941,14.0,0.015107418970567197,1676.9235057329588
14.55717885,121.0840175,0,6.53900527954,11.0,0.000812078298256171,90.14069110643499
14.54496125,121.1158661,0,5.95179271698,13.0,0.01595085185852237,1770.544556295983
14.52026732,121.0749712,0,5.68727064133,9.0,0.0029470732176864185,327.1251271631925
14.51937411,121.0729005,0,6.21885538101,9.0,0.00353134346636332,391.97912476632854
14.64700126,121.0338387,0,36.9284820557,9.0,0.00042143859183534717,46.779683693723534
14.62797617,121.0821239,0,12.4665813446,11.0,0.0005064121844585862,56.21175247490307
14.62800213,121.08214,0,12.4665813446,11.0,0.0005013982741441277,55.65520842999817
14.62729621,121.0810993,0,11.1856298447,11.0,0.0013288925541558587,147.50707351130032
14.6462435,121.0580725,0,60.2424049377,9.0,0.0041374858465055364,459.2609289621145
14.57662799,121.059588,0,43.9188652039,9.0,0.0018920125692208282,210.01339518351193
14.57818551,121.0612617,0,42.4162406921,9.0,0.0013253820008269225,147.1174020917884
14.59202228,121.1064032,0,10.8565387726,12.0,0.009961613097909465,1105.7390538679506
14.64085611,121.1016879,0,14.5955848694,13.0,0.009524405278127278,1057.2089858721279
14.55582368,121.0861847,0,6.56633234024,11.0,0.00010327899321380628,11.463968246732497
14.69973452,121.1060426,0,38.5715751648,16.0,0.00860472083303184,955.1240124665342
14.70059586,121.106284,0,33.9665641785,16.0,0.008874456234144257,985.0646419900125
14.70063737,121.1057476,0,37.7849807739,16.0,0.008343649328741638,926.1450754903218
14.56336268,121.0654137,0,16.5527076721,9.0,0.002428521725263534,269.56591150425226
14.664063,121.0688362,0,68.4841766357,11.0,0.0017071460453028475,189.49321102861606
14.57420603,121.0010353,0,7.00745439529,7.0,0.0015593373659612518,173.08644762169894
14.61340326,120.9942815,0,7.53836297989,8.0,3.364664645991334e-05,3.734777757050381
14.42858768,121.0101817,0,35.5562362671,8.0,0.002829425565801922,314.0662378040133
14.42872535,121.0101495,0,35.3216438293,8.0,0.0028597961697437065,317.4373748415514
14.49015137,120.9858534,0,7.31955099106,6.0,0.0018324525289613073,203.4022307147051
